"filename", "language", "HTML", "JSON", "TypeScript", "JSON with Comments", "JavaScript", "Markdown", "TypeScript JSX", "YAML", "SCSS", "comment", "blank", "total"
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\hooks\alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 8, 40
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\hooks\types.ts", "TypeScript", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 5, 64
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\hooks\use-product-variants.ts", "TypeScript", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 15, 105
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 88, 0, 0, 1, 6, 95
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\pages\Account.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 7, 69
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\pages\AccountHomePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 7, 91
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\pages\AllProducts.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 12, 110
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\pages\Categories.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 207, 0, 0, 0, 13, 220
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\pages\Home.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 176, 0, 0, 0, 5, 181
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\pages\PaymentPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 188, 0, 0, 2, 7, 197
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\pages\ProductDetails.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 285, 0, 0, 1, 14, 300
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\pages\ShoppingCart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 290, 0, 0, 1, 21, 312
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\services\Count.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\services\Payement.ts", "TypeScript", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 3, 71
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\services\addresDelete.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 3, 28
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\services\allProduct.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\services\api-client.ts", "TypeScript", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 4, 45
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\services\lastVisited.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\services\paymentAddress.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 3, 6, 47
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\services\storge.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 8, 39
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\services\type.ts", "TypeScript", 0, 0, 329, 0, 0, 0, 0, 0, 0, 0, 40, 369
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\services\updateAccount.ts", "TypeScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 6, 34
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\services\userCount.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 4, 31
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\store\cartStore.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 6, 36
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\styles\AboutUs\_AboutUs.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\styles\Accordion\_accordion.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 2, 15
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\styles\Account\_myAccount.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 3, 26
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\styles\Account\_singUp.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\styles\Foother\_foother.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 45, 2, 6, 53
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\styles\HomeStyles\_HomeComp.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 4, 66
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\styles\HomeStyles\_home.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 2, 21
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\styles\Navbar\_navbar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 181, 4, 30, 215
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\styles\PaymentPage\_paymentPage.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 3, 26
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\styles\ProductsDetailts\_productdetails.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 193, 2, 22, 217
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\styles\Products\_products.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 113, 0, 15, 128
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\styles\Slider\_Slider.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
